concurrency,n_requests,elapsed_s,req_per_sec,out_tokens_total,tokens_per_sec,lat_p50_s,lat_p95_s,lat_p99_s,lat_mean_s
1,5,4.99573278427124,1.0008541721331043,320,64.05466701651868,0.9961826801300049,1.00675368309021,1.0088525295257569,0.9987755298614502
2,10,5.123579740524292,1.9517603914517603,640,124.91266505291266,1.026273250579834,1.0310411334037781,1.0312650656700135,1.021338415145874
4,20,5.146922588348389,3.8858171376573702,1280,248.6922968100717,1.0301458835601807,1.0312591433525085,1.0314923453330993,1.0271749258041383
8,40,5.144996166229248,7.774544179945595,2560,497.5708275165181,1.02800714969635,1.0305116415023803,1.0311038732528686,1.0266013741493225
16,80,5.2532196044921875,15.228756081620798,5120,974.6403892237311,1.0462909936904907,1.0510514974594116,1.0531560707092285,1.0461348354816438
24,120,5.6806089878082275,21.12449567599971,7680,1351.9677232639815,1.1306902170181274,1.1365728497505188,1.1397374200820922,1.1307443618774413
32,160,5.704862594604492,28.046249554077562,10240,1794.959971460964,1.138399600982666,1.150141417980194,1.1526907181739807,1.1320060685276985
48,240,9.033655405044556,26.567318459588318,15360,1700.3083814136523,1.133592963218689,1.1555972456932069,1.1590161204338074,1.129009203116099
64,320,11.35501217842102,28.181387652593237,20480,1803.6088097659672,1.1292732954025269,1.1398054242134095,1.144659399986267,1.1289513014256953
