run_label,arrival_pattern,stagger_ms,prompt_idx,max_tokens,concurrency,n_requests,elapsed_s,req_per_sec,out_tokens_total,tokens_per_sec,lat_p50_s,lat_p95_s,lat_p99_s,lat_mean_s
stagger_50ms_256,staggered,50,0,256,24,72,14.81727910041809,4.859191725555633,18432,1243.9530817422421,4.581300735473633,4.5901268243789675,4.591094460487366,4.56411658724149
stagger_50ms_256,staggered,50,0,256,32,96,15.512799263000488,6.188438229131811,24576,1584.2401866577436,4.685806751251221,4.698932528495789,4.699288463592529,4.6656897366046906
stagger_50ms_256,staggered,50,0,256,40,120,19.746068716049194,6.077159039888608,30720,1555.7527142114836,4.697207689285278,4.699455952644348,4.699890305995941,4.661664925018946
