run_label,arrival_pattern,stagger_ms,prompt_idx,max_tokens,concurrency,n_requests,elapsed_s,req_per_sec,out_tokens_total,tokens_per_sec,lat_p50_s,lat_p95_s,lat_p99_s,lat_mean_s
burst_256,burst,0,0,256,24,72,14.090914726257324,5.109675375852896,18432,1308.0768962183413,4.564116954803467,5.071483516693116,5.072026145458222,4.686879489156935
burst_256,burst,0,0,256,32,96,13.511447191238403,7.105086423477412,24576,1818.9021244102175,4.494669198989868,4.50292181968689,4.50457090139389,4.4935644790530205
burst_256,burst,0,0,256,40,120,18.24557638168335,6.5769366497222554,30720,1683.6957823288974,4.599167585372925,4.61294561624527,4.615471804141999,4.557142863670985
