run_label,arrival_pattern,stagger_ms,prompt_idx,max_tokens,concurrency,n_requests,elapsed_s,req_per_sec,out_tokens_total,tokens_per_sec,lat_p50_s,lat_p95_s,lat_p99_s,lat_mean_s
stagger_25ms_256,staggered,25,0,256,24,72,14.273422956466675,5.044340115163468,18432,1291.3510694818478,4.5808265209198,4.58811309337616,4.589353189468384,4.572239150603612
stagger_25ms_256,staggered,25,0,256,32,96,14.778533220291138,6.495908529554924,24576,1662.9525835660606,4.685923457145691,4.696771085262299,4.698561036586762,4.673700290421645
stagger_25ms_256,staggered,25,0,256,40,120,19.196584224700928,6.251112103870632,30720,1600.2846985908818,4.696283340454102,4.697714996337891,4.699620914459229,4.665049233039221
