concurrency,n_requests,elapsed_s,req_per_sec,out_tokens_total,tokens_per_sec,lat_p50_s,lat_p95_s,lat_p99_s,lat_mean_s
1,5,39.63599729537964,0.12614795491932404,2560,64.58775291869391,7.924903869628906,7.933332920074463,7.934912776947021,7.926808500289917
2,10,40.30983114242554,0.24807843934317897,5120,127.01616094370763,8.062844276428223,8.063759303092956,8.063776297569275,8.058673334121703
4,20,40.20612096786499,0.4974366966657921,10240,254.68758869288556,8.040675282478333,8.042143607139588,8.042172961235046,8.03879851102829
8,40,40.29026770591736,0.9927955875588603,20480,508.3113408301365,8.054845094680786,8.06565682888031,8.06617900133133,8.054255670309066
16,80,41.250009059906006,1.9393935134370197,40960,992.9694788797541,8.244797587394714,8.257206213474273,8.258655216693878,8.24554439485073
24,120,44.49036955833435,2.697212929253371,61440,1380.973019777726,8.890583634376526,8.902058613300323,8.903252127170562,8.88981088201205
32,160,44.83467245101929,3.5686666424249185,81920,1827.1573209215583,8.889517188072205,9.0927263379097,9.095721886157989,8.956716318428516
48,240,70.67562413215637,3.3957959755859237,122880,1738.647539499993,8.890059351921082,9.103320360183716,9.108205246925355,8.871208381652831
64,320,90.21346712112427,3.5471422417492833,163840,1816.136827775633,9.094945073127747,9.11013275384903,9.114668002128601,9.013835238665342
